#id;name;owner;core,;population;culturex%,;administrative division;trade_goods;life_rating;continent,,,,,,,,,,,,,,,,,,,,,,,,,,
2459;Lajes;BRZ;BRZ;1000;pardo_portuguese 5.6%," white_portuguese 94.4%;Santa Catarina;fruit;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2460;Castro;BRZ;BRZ;3000;white_portuguese 86.6%," pardo_portuguese 13.4%;Parana;grain;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2461;Desterro;BRZ;BRZ;3668;pardo_portuguese 5.6%," white_portuguese 94.4%;Santa Catarina;coal;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2462;Sao Miguel;BRZ;BRZ;2000;pardo_portuguese 5.6%," white_portuguese 94.4%;Santa Catarina;coal;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2463;Porto Alegre;BRZ;BRZ,RGS;6552;white_portuguese 88.7%," pardo_portuguese 11.3%;Rio Grande do Sul;coal;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
2464;Pelotas;BRZ;BRZ,RGS;1200;white_portuguese 88.7%," pardo_portuguese 11.3%;Rio Grande do Sul;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
2465;Passo Fundo;BRZ;BRZ,RGS;1200;white_portuguese 88.7%," pardo_portuguese 11.3%;Rio Grande do Sul;tobacco;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
2466;Santa Maria;BRZ;BRZ,RGS;1200;white_portuguese 88.7%," pardo_portuguese 11.3%;Rio Grande do Sul;timber;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
2467;Alegrete;BRZ;BRZ,RGS;1200;white_portuguese 88.7%," pardo_portuguese 11.3%;Rio Grande do Sul;cattle;35;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
2532;Forte Sao Joaquim;BRZ;BRZ;497;pardo_portuguese 80%," white_portuguese 20%;Roraima;oil_seeds;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2549;Tarauaca;BRZ;BRZ;790;pardo_portuguese 80%," white_portuguese 20%;Acre;oil_seeds;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2550;Forte do Principe;BRZ;BRZ;1752;white_portuguese 75%," pardo_portuguese 25%;Rondônia;oil_seeds;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2600;Altamira;BRZ;BRZ;1000;pardo_portuguese 49%, white_portuguese 45%, black_portuguese 5%," native_american_minor 1%;Pará;grain;25;""south_america""",,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Brazil;BRZ;;0;white_portuguese 47.7%, pardo_portuguese 43.1%, black_portuguese 7.6%, japanese 1.1%, native_american_minor 0.4%;201857;;;,,,,,,,,,,,,,,,,,,,,,,,,
1901;Wagadugu;FRA;BUF;4856;mossi 98%, black_french 2%;Centre, Centre-Sud, Plateau-Central," Centre-Est;cotton;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,
1902;Wahiguya;FRA;BUF;2816;african_minor 69%, mossi 31%;Nord," Boucle du Mouhoun;oil_seeds;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
1903;Dori;FRA;BUF;2343;fula 66%, mossi 24%, african_minor 10%;Sahel," Centre-Nord;oil_seeds;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,
1904;Fada Ngourma;FRA;BUF;1416;black_muslim 52%," african_minor 48%;Est;gold_silver;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1905;Bobo Dioulasso;FRA;BUF;1968;african_minor 55%, black_muslim 45%;Sud-Ouest," Centre-Ouest;oil_seeds;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
1906;Orodaro;FRA;BUF;2106;african_minor 100%;Cascades," Haut-Bassins;cattle;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Burkina Faso;FRA;;0;Mossi 40%, black_muslim 10.5%, african_minor 39%, black_french 0.5%, fula 10%;15505;;;,,,,,,,,,,,,,,,,,,,,,,,,
"1191;Khiva;RUS;UZB;1517;uzbek 100%;Xorazm;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192;Nukus;RUS;UZB, KKP;1612;karakalpak 42%, kazak 30%," uzbek 28%;Karakalpakstan;other_minerals;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1195;Tashkent;RUS;UZB;5427;russian 13%, tatar 7%, tajik 10%, uzbek 70%;Tashkent, Guliston," Toytepa;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,
1198;Bukhara;RUS;UZB;2410;kazak 4%, uzbek 96%;Bukhara," Navoiy;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1199;Samarkand;RUS;UZB;4122;tajik 14%, kazak 6%, russian 20%, uzbek 60%;Samarkand," Jizzax;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,
1200;Qarshi;RUS;UZB;4549;tajik 8%, uzbek 92%;Qarshi," Termiz;wool;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
1202;Kokand;RUS;UZB;7670;tajik 10%, uzbek 90%;Namangan, Fargona," Andijon;cotton;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;uzbekistan;RUS;;0;uzbek 82.5%, Russian 5.5%, tajik 5%, Kazak 3%, Karakalpak 2.5%, Tatar 1.5%;27307;;;,,,,,,,,,,,,,,,,,,,,,,,
"808;Petrich;BUL;BUL;341;bulgarian 100%;Blagoevgrad;wool;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
809;Sofia;BUL;BUL;1754;roma 14%, bulgarian 86%;Sofia, Pernik," Kyustendil;timber;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,
810;Vidin;BUL;BUL;555;roma 10%, bulgarian 90%;Vidin, Montana," Vratsa;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,
"811;Ruse;BUL;BUL;266;bulgarian 100%;Ruse;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
812;Pleven;BUL;BUL;624;bulgarian 100%;Pleven, Gabrovo," Lovech;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
813;Shumen;BUL;BUL;634;turkish 50%, bulgarian 50%;Shumen, Targovishte," Veliko Tarnovo ;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,
"814;Varna;BUL;BUL;462;bulgarian 100%;Varna;copper;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
815;Plovdiv;BUL;BUL;1327;turkish 20%, bulgarian 80%;Plovdiv, Pazardzhik, Smolyan," Kardzhahil;oil_seeds;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,
816;Stara Zagora;BUL;BUL;865;roma 10%, turkish 5%, bulgarian 85%;Stara Zagora, Hasgovo," Silven;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,
817;Burgas;BUL;BUL;579;turkish 10%, bulgarian 90%;Burgas," Yambol;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,
818;Silistre;BUL;BUL;357;bulgarian 100%;Silistre," Dobrish;grain;35;""europe""",,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Bulgaria;BUL;;0;Bulgarian 86.3%, Turkish 8.8%, Roma 4.9%;7764;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
1330;Rangoon;ENG;BUR;4572;chinese 7%, indian 16%, indian_muslim 10%," burmese 67%;Rangoon;gas;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
"1331;Bassein;ENG;BUR;6663;burmese 100%;Ayeyarwady;fish;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1332;Pegu;ENG;BUR;5099;burmese 100%;Bango;grain;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333;Toungoo;ENG;BUR," KAY;1431;karen 100%;Kayin;timber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1334;Ava;ENG;BUR;2000;burmese 100%;Sagaing;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335;Kyaukse;ENG;BUR;8552;chinese 12%, indian 3%, indian_muslim 6%," burmese 79%;Mandalay;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
"1336;Magwe;ENG;BUR;2464;burmese 100%;Magwe;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1337;Prome;ENG;BUR;2000;burmese 100%;Magwe;grain;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338;Taunggye;ENG;BUR," KAY;259;karen 100%;Kayah;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1339;Haka;ENG;BUR;3300;burmese 100%;Sagaing;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340;Lashio;ENG;BUR, SHA;4851;shan 82%, karen 8%," burmese 10%;Shan;oil_seeds;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1341;Putao;ENG;BUR, KAC;670;kachin 55%, shan 25%," chinese 20%;Kashin;timber;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1342;Myitkyina;ENG;BUR, KAC;600;kachin 62%,  shan 33%," chinese 5%;Kashin;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1343;Moulmein;ENG;BUR, MOS;2466;mon 40%, karen 30%," burmese 30%;Mon;grain;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1344;Mergui;ENG;BUR;1356;burmese 53%," karen 47%;Tanintharyi;fish;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1345;Sittwe;ENG;BUR, CHS, RAK;3224;Rakhine 62%, rohingya 23%, chin 15%;Rakhine," Chin;grain;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,
#TOT;Burma;ENG;;0;burmese 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, chin 1%,rohingya 1.5%, indian_muslim 1%, kashin 1.5%;49507;;;,,,,,,,,,,,,,,,,,,
1364;Phnom Penh;CAM;CAM;7793;vietnamese 9%, chinese 2%, cham 1%," khmer 88%;The rest;cattle;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,
1366;Battambang;CAM;CAM;3139;khmer 100%;Battambang, Pailin, Banteay, Oddar, Siem," Preah;grain;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,
1367;Kampot;CAM;CAM;1400;khmer 100%;Kampo, Preah Sihanouk, Kho Kong, Pursat," Kep;grain;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,
1368;Stongtreng;CAM;CAM;1056;cham 15%, lao 25%, khmer 60%;Stung Treng, Ratanakiri,Mondulkiri," Kracheh;rubber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,
#TOT;Cambodia;CAM;;0;Khmer 90%, vietnamese 5%, Chinese 1%, cham 2%, Lao 2%;13388;;;,,,,,,,,,,,,,,,,,,,,,,,,
2648;Yakutsk;CAN;CAN;15;native_american_minor 10%," white_anglo 90%;Whitehorse;gold_silver;20;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
6;Whitehorse;CAN;CAN;15;native_american_minor 10%," white_anglo 90%;Dawson;gold_silver;20;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
7;Dawson;KMT;CHI," KMT;5000;chinese 100%;Leshan;timber;15;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
8;Ross River;KMT;CHI," KMT;1662;chinese 100%;Yaan;grain;15;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
9;Fort Simpson;CHI;CHI,"KMT;6000;chinese 100%;Heze;timber;15;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
10;Inuvik;KMT;CHI," KMT;8000;chinese 100%;Luzhou;grain;15;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
11;Echo Bay;CAN;CAN;28;native_american_minor 28%, inuit 14%, white_anglo 48%," white_french 10%;Northwest Territories;fish;15;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,
12;Reliance;CHI,KMT;CHI,"KMT;6000;chinese 100%;Xianyang;coal;15;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
13;Vancouver;CAN;CAN;2956;chinese 2%, indian 1%," white_anglo 97%;British Columbia;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
14;Vancouver Island;CAN;CAN;759;chinese 1%," white_anglo 99%;British Columbia;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
15;Prince Rupert;CAN;CAN;24;native_american_minor 60%," white_anglo 40%;British Columbia;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
16;Glenora;USA;SKO;10000;chinese 3%," korean 97%;Gyeonggi;coal;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
17;Atlin;CHI,KMT;CHI," KMT;6000;chinese 100%;Tongzhou;coal;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
18;Fort Saint John;CHI;CHI," KMT;10000;chinese 100%;Baoding;coal;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19;Prince George;CAN;CAN;84;white_anglo 100%;British Columbia;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20;Kelowna;CAN;CAN;337;white_anglo 100%;British Columbia;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21;Vernon;CAN;CAN;200;white_anglo 100%;British Columbia;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
22;Edmonton;CAN;CAN;1659;chinese 1%," white_anglo 99%;Alberta;petroleum;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"23;Athabaska Landing;CAN;CAN;12;white_anglo 100%;Alberta;gas;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24;Jasper;CAN;CAN;12;white_anglo 100%;Alberta;timber;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25;Banff;CAN;CAN;12;white_anglo 100%;Alberta;coal;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26;Calgary;CAN;CAN;1614;white_anglo 100%;Alberta;petroleum;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27;Denwood;CAN;CAN;120;white_anglo 100%;Alberta;timber;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28;Fort MacLeod;CAN;CAN;86;white_anglo 100%;Alberta;iron;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29;Medicine Hat;CAN;CAN;120;white_anglo 100%;Alberta;fruit;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30;Regina;CAN;CAN;297;white_anglo 100%;Saskatchewan;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31;Stanley;CAN;CAN;14;native_american_minor 30%," white_anglo 70%;Saskatchewan;timber;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
32;Prince Albert;CAN;CAN;70;native_american_minor 10%," white_anglo 90%;Saskatchewan;grain;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"33;Asquith;CAN;CAN;70;white_anglo 100%;Saskatchewan;grain;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34;Saskatoon;CAN;CAN;322;white_anglo 100%;Saskatchewan;grain;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35;Maple Creek;CAN;CAN;260;white_anglo 100%;Saskatchewan;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36;Winnipeg;CAN;CAN;880;white_anglo 100%;Manitoba;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
37;Churchill;CAN;CAN;12;native_american_minor 60%," white_anglo 40%;Manitoba;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
38;Indian Lakes;MEX;MEX;10000;white_spanish 23%, christian_arab 4%," mestizo 73%;Federal District;other_minerals;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
39;Norway House;CAN;CAN;8;inuit 85%," white_anglo 15%;Rankin Inlet;other_minerals;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
40;Dauphin;CAN;CAN;12;native_american_minor 60%," white_anglo 40%;Manitoba;cattle;30;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
41;Brandon;CAN;CAN;254;white_anglo 84%," mennonites 16%;Manitoba;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"42;Pembina;CAN;CAN;26;white_anglo 100%;Manitoba;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
43;Arviat;KMT;CHI," KMT;5000;chinese 100%;Yichun;copper;25;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
44;Echo Bay;RUS;CHI, KMT,"MCK;10000;chinese 100%;Harbin;iron;35;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
45;Baffin Island;RUS;CHI, KMT,"MCK;17462;chinese 100%;Changchun;timber;25;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,
46;Toronto;CAN;CAN;5583;white_anglo 95%, white_french 1%," black_anglo 4%;Ontairo;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
47;Fort Severn;CAN;CAN;8;inuit 60 %," white_anglo 40%;Ontairo;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
48;Fort Albany;CAN;CAN;14;white_french 40%," white_anglo 60%;Fort Albany;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49;Dryden;CAN;CAN;100;white_anglo 100%;Dryden;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50;Thunder Bay;CAN;CAN;200;white_anglo 100%;Thunder Bay;cattle;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51;Sault Ste Marie;CAN;CAN;200;white_anglo 100%;Sault Ste Marie;gold_silver;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52;Sudbury;CAN;CAN;700;white_anglo 100%;Sudbury;other_minerals;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53;Barrie;CAN;CAN;631;white_anglo 100%;Barrie;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54;Windsor;CAN;CAN;2000;white_anglo 100%;Windsor;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55;Hamilton;CAN;CAN;1500;white_anglo 100%;Hamilton;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56;Kingston;CAN;CAN;550;white_anglo 100%;Kingston;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
57;Ottawa;CAN;CAN;1236;white_french 23%, white_anglo 75%," black_anglo 2%;Ottawa;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
58;Montreal;CAN;QUE,CAN;5128;white_french 56%," white_anglo 44%;Quebec;cattle;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
59;Nitchequon;CAN;QUE,CAN;6;white_french 65%," white_anglo 35%;Quebec;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
60;Fort Rupert;CAN;QUE,CAN;6;white_french 35%, native_american_minor 40%," white_anglo 25%;Quebec;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,
61;Chicoutimi;CAN;QUE,"CAN;276;white_french 100%;Quebec;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
62;Sept;CAN;QUE,CAN;94;white_french 75%," white_anglo 25%;Quebec;iron;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
63;Temiscaming;CAN;QUE,CAN;145;white_french 65%," white_anglo 35%;Quebec;other_minerals;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
64;Trois Rivieres;CAN;QUE,CAN;263;white_french 90%," white_anglo 10%;Quebec;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
65;Quebec City;CAN;QUE,CAN;700;white_french 99%," white_anglo 1%;Quebec;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
66;Sherbrooke;CAN;QUE,CAN;544;white_french 65%," white_anglo 35%;Quebec;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
67;Rimouski;CAN;QUE,CAN;703;white_french 90%," white_anglo 10%;Quebec;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
68;Fredericton;CAN;CAN;561;white_anglo 94%," white_french 6%;New Brunswick;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
69;Bathurst;CAN;CAN;190;white_anglo 20%," white_french 80%;New Brunswick;cattle;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"70;Prince Edward Island;CAN;CAN;140;white_anglo 100%;Prince Edward Island;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71;Halifax;CAN;CAN;681;white_anglo 97%," white_french 3%;Nova Scotia;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72;Truro;CAN;CAN;120;white_anglo 100%;Nova Scotia;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"73;Cape Breton Island;CAN;CAN;120;white_anglo 100%;Nova Scotia;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
74;Saint Johns;ENG;CAN,NFL;463;white_anglo 94%," white_french 6%;Newfoundland and Labrador;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
75;Millertown;ENG;CAN,"NFL;25;white_anglo 100%;Newfoundland and Labrador;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
76;Hopedale;ENG;QUE,CAN,NFL;12;white_anglo 36%, inuit 16%," white_french 48% ;Newfoundland and Labrador;iron;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,
2592;Ungava;CAN;QUE,CAN;10;white_french 35%, native_american_minor 40%," white_anglo 25%;Quebec;cattle;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,
2593;Fort George;CAN;QUE,"CAN;4;inuit 100%;Nunavut;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2594;Pickle;CAN;CAN;4;native_american_minor 60%," white_anglo 40%;Ontairo;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2595;Nunavut;CAN;CAN;22;inuit 85%," white_anglo 15%;Nunavut;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2596;FortResolution;CHI;CHI,"KMT;10000;chinese 100%;Dezhou;coal;20;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2597;Fort Chipewyan;CAN;CAN;40;native_american_minor 60%," white_anglo 40%;Alberta;gas;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2598;Fort Liard;CHI,KMT;CHI,"KMT;10000;chinese 100%;Taian;timber;15;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,
2625;Port Hope Simpson;ENG;QUE,CAN,NFL;14;white_anglo 90%," white_french 10%;Newfoundland and Labrador;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,
2626;Port Harrison;CAN;QUE,CAN;10;white_french 35%, native_american_minor 40%," white_anglo 25%;Quebec;grain;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,
2627;Fort Chimo;CAN;QUE,CAN;10;white_french 35%, native_american_minor 40%," white_anglo 25%;Quebec;timber;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,
2628;Attawapiskat;CAN;CAN;10;native_american_minor 60%," white_anglo 40%;Ontairo;fish;35;""north_america""",,,,,,,,,,,,,,,,,,,,,,,,,,,
2629;Beatton River;CHI;CHI,"KMT;10000;chinese 100%;Handan;timber;30;""asia""",,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Canada;CAN;;33372;white_anglo 58.5%, white_french 23.6%, black_anglo 2.5%, Chinese 4.5%, indian 2.1%, indian_muslim 1.0%, sunni_arab 2.2%, filipino 1.4%, native_american_minor 4.0%, inuit 0.2% ;;;;,,,,,,,,,,,,,,,,,,,
1965;Bangui;FRA;CAR;1472; Baya-Mandjia 82%, black_french 5%, banda 13%;Bangui, Lobayer, Ombella-M'Poko," Kemo;coffee;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,
1966;Nola;FRA;CAR;698; Baya-Mandjia 50%,  mbaka 22%, sara 28%;Nana-Mambéré, Mambéré-Kadéï," Sangha-Mbaéré;timber;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,
1967;Bouar;FRA;CAR;430; Baya-Mandjia 35%," black_muslim 65%;Ouham-Pendé;timber;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1968;Bossangoa;FRA;CAR;369; Baya-Mandjia 48%," sara 52%;Ouham;timber;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1969;Zemio;FRA;CAR;307; Banda 100%;Haute-Kotto, Mbomou," Haut-Mbomou;timber;30;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
1970;Bangassou;FRA;CAR;525; Banda 100%;Ouaka," Basse-Kottto;timber;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1971;Ndele;FRA;CAR;94;Banda 20%, black_muslim 80%;Vakaga," Bamingui-Bangoran;timber;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Central African Republic;FRA;;0;Baya-Mandjia 46%, Banda 27%, sara 10%, black_muslim 9%, MBaka 4%, black_french 2%;3895;;;,,,,,,,,,,,,,,,,,,,,,,,
1818;Massenya;FRA;CHA;1722;kanem-bornou 7%, black_muslim 78%," black_french 15%;Massenya;grain;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
1819;Moundou;FRA;CHA;2044;Mayo-Kebbi 58%, sara 42%;Moundou, Doba," Pala;cattle;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,
1820;Bongor;FRA;CHA;2088;sara 96%, fula 4%;Kourma, Bongor,"Lai;wool;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,
1821;Abeche;FRA;CHA;1658;sunni_arab 37%, Hadjarai 54%," black_muslim 9%;Abeche;grain;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,
1822;Am Timan;FRA;CHA;908;black_muslim 90%, sunni_arab 10%;Ati, Biltine," Koumra;wool;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,
1823;Mongo;FRA;CHA;811;black_muslim 30%," sunni_arab 70%;Mongo;wool;25;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1824;Mao;FRA;CHA;805;Kanem-Bornou 100%;Mao," Bol;cattle;15;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1825;Zouar;FRA;CHA;120;toubou 100%;Bardai," Borkou;fruit;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
1826;Faya;FRA;CHA;173;toubou 50%," Zaghawa 50%;Fada;wool;10;""africa""",,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOT;Chad;FRA;;0;Sara 27.7%, sunni_Arab 12.3%, Mayo-Kebbi 11.5%, Kanem-Bornou 9%, Hadjarai 8.7%, black_muslim 25.8%, black_french 5%;10329;;;,,,,,,,,,,,,,,,,,,,,,,
