#tag;name;totpop;primary_culture;capital;percent_secularism;religion;government;literacy;complexity;millitary per capita;urbanization;colors
PEU;Peru;7633;white_spanish,mestizo;Lima;3.75%;secularism;presidential_dictatorship;7.20%;-1,737957;3,9;77,3;244-164-96
PHI;Philippines;21131;filipino;Manila;1.50%;secularism;democracy;7.80%;-1,676072;1,3;48,8;25-25-112
POL;Poland;30000;polish;Warsaw;6.00%;secularism;proletarian_dictatorship;5.88%;-0,46815;3,1;60,9;255-69-0
POY;Polynesia;;white_french,micronesian;Tahiti;18.50%;secularism;democracy;7.25%;0,1592;3,4;85,8;
POR;Portugal;8443;portuguese,white_portuguese;Lisbon;8.25%;secularism;populist_dictatorship;12.55%;-0,72302;4;61,1;34-139-34
PUR;Puerto Rico;2218;white_spanish;Puerto Rico;9.00%;secularism;democracy;7.00%;0,44247;4,4;92,5;106-90-205
PUL;Puntland;;somali;Bossangoa;0.50%;secularism;presidential_dictatorship;1.00%;-3;0,2;37,7;
QAT;Qatar;25;sunni_arab;Doha;1.00%;sunni;absolute_monarchy;6.15%;-1,905426;13,4;98,8;85-107-47
QUE;Quebec;;white_french;Quebec City;15.25%;secularism;hms_government;15.00%;-0,38799;2;80,7;
QWA;QwaQwa;;sotho;Winburg;5.00%;secularism;populist_dictatorship;0.78%;-1,061362;1,3;62;238-223-204
RAK;Rakhine;;rakhine;Sittwe;0.75%;secularism;presidential_dictatorship;1.43%;-2,5;8,4;33;
ROC;Rep Of The Congo;826;black_french,teke;Nkuna;1.50%;secularism;proletarian_dictatorship;0.45%;-2,68153;2,5;63,7;238-221-130,communist250-128-114 
RSR;Republica Srpska;;serb;Banja Luka;9.50%;secularism;presidential_dictatorship;9.85%;-1,30036;2,1;48,3;
ROM;Romania;16311;romanian;Bucharest;4.25%;secularism;proletarian_dictatorship;6.93%;-0,921521;3,3;52,8;
RUS;Russia;101937;russian,german,ukrainian,byelorussian,estonian,latvian,lithuanian;Moscow;14.75%;secularism;proletarian_dictatorship;16.03%;0,871825;5,3;73,8;176-196-222,communist255-0-0
RWA;Rwanda;2439;hutu;Kigali;1.25%;secularism;populist_dictatorship;0.43%;-3;3,1;19,1;
RYK;Ryukyu;;japanese;Okinawa;17.75%;secularism;hms_government;11.93%;0,85193;1,9;91,3;
SPM;Saint Pierre and Miquelon;5;white_french;St Pierre & Miquelon;18.50%;secularism;democracy;6.25%;0,1592;3,4;85,8;
SAM;Samoa;82;polynesian;Apia;2.00%;secularism;democracy;2.73%;-2,5;0;19,9;
STP;Sao Tome And Principe;60;black_anglo;Sao Tome;4.75%;secularism;democracy;0.73%;-3;1;63;
SAR;Sardinia;;sardinian,italian;Cagliari;7.50%;secularism;democracy;12.25%;-0,02114;3;68,4;
SAA;Saudi Arabia;3860;sunni_arab;Riyadh;1.00%;sunni;absolute_monarchy;5.60%;-1,257602;8,1;82,3;60-179-113
SAL;Saarland;812;german,french;Saarbrucken;62.00%;secularism;democracy;46.30%;2,55528;2,2;73,9;
SCO;Scotland;;scottish,white_anglo;Edinburgh;11.25%;secularism;democracy;14.50%;-1,136524;7;82,4;
SEN;Senegalia;2654;black_french,wolof;Dakar;0.75%;secularism;democracy;0.93%;-2,54957;1;42,5;
SER;Serbia;5956;serb;Belgrade;11.25%;secularism;proletarian_dictatorship;9.50%;-1;3,8;56,4;119-136-153,  communist 153-50-204
SEY;Seychelles;33;black_french;Seychelles;2.00%;secularism;democracy;2.45%;-1,5;2,3;53,6;
SHA;Shan;;shan;Lashio;0.75%;secularism;presidential_dictatorship;0.68%;-2,5;8,4;33;
SCI;Sicily;;italian;Palermo;7.50%;secularism;democracy;12.25%;-0,02114;3;68,4;
SRN;Sierra Leone;2087;black_anglo,temne;Freetown;0.25%;secularism;democracy;0.55%;-3;2;39,2;106-90-205
SIK;Sikkim;;tibetan;Tumlong;2.25%;secularism;democracy;0.60%;-1,347095;1,1;31,3;
SNG;Singapore;1022;chinese;Singapore;13.25%;secularism;democracy;13.98%;-0,10291;15,6;100;
SMA;Sint Maarten;2;black_dutch;Saint Martin;16.25%;secularism;hms_government;7.25%;-0,12892;2,2;83,2;
SLV;Slovakia;3463;slovak;Bratislava;11.25%;secularism;democracy;7.58%;-0,06091;2,9;54,7;
SLO;Slovenia;1468;slovene;Ljubljana;12.75%;secularism;proletarian_dictatorship;15.13%;-0,11161;3,8;49,9;255-235-205,  communist 153-50-204
SOL;Solomon Islands;107;melanesian;Solomon Islands;0.50%;secularism;hms_government;6.03%;-3;0;20,5;
SOM;Somalia;2438;somali;Mogadishu;0.50%;secularism;hms_government;0.50%;-3;0,2;37,7;
SML;Somaliland;;somali;Berbera;0.50%;secularism;presidential_dictatorship;0.50%;-3;0,2;37,7;
SAF;South Africa;13596;afrikaaner,white_anglo;Pretoria;5.00%;secularism;hms_government;3.80%;-1,061362;1,3;62;
SKO;South Korea;20846;korean;Seoul;13.00%;secularism;democracy;12.25%;-0,40823;0;91;
SOT;South Ossetia;;ossetian;Pasanauri;13.25%;secularism;democracy;7.00%;-1,605049;8,1;53,6;
SSU;South Sudan;;nuer,dinka;Lado;2.25%;secularism;presidential_dictatorship;0.03%;-2,89062;2,7;33,2;
SUT;South Tyrol;;german;Bozen;7.50%;secularism;democracy;12.25%;-0,02114;3;68,4;
SVI;South Vietnam;12000;vietnamese:vietnamese;Saigon;11.00%;secularism;nationalist_dictatorship;2.43%;-2,215529;5,4;31;255-140-0
SYE;South Yemen;;sunni_arab;Aden;0.25%;secularism;hms_government;5.43%;-2,83394;2,9;32,3;143-188-143,communist255-0-0
SPA;Spain;28063;spanish,catalan,basque;Madrid;3.75%;secularism;populist_dictatorship;14.0%;-0,72302;2,6;77,4;
SRL;Sri Lanka;7533;sinhala;Colombo;0.50%;secularism;democracy;1.28%;-2,186109;7,5;15,1;255-140-0
SKN;St Kits And Nevis;44;black_anglo;Saint Kitts;4.75%;secularism;hms_government;6.95%;-2,5;0;32;
STL;St Lucia;79;black_anglo;Saint Lucia;4.75%;secularism;hms_government;5.03%;-2,5;0;17,5;
SVG;St Vincent And Grenadines;66;black_anglo;Saint Vincent;4.75%;secularism;hms_government;6.50%;-2,5;0;49,3;
SUD;Sudan;8051;sunni_arab;Khartoum;2.25%;secularism;presidential_dictatorship;1.73%;-2,89062;2,7;33,2;
SUR;Suriname;208;black_dutch;Paramaribo;4.75%;secularism;democracy;1.75%;-1,5;3,4;69,7;
SWA;Swaziland;277;swazi;Mbabane;2.25%;secularism;absolute_monarchy;1.30%;-2,5;3,8;21,2;
SWE;Sweden;7014;swedish;Stockholm;22.00%;secularism;hms_government;17.50%;0,938;2,2;85,2;
SWI;Switzerland;4694;german,french,italian;Bern;14.25%;secularism;democracy;10.53%;0,92261;3,3;73,7;230-230-250
SYR;Syria;3495;shia_arab;Damascus;3.75%;secularism;democracy;1.53%;-2,53894;13,6;56,1;205-201-201
TAI;Taiwan;7981;chinese,chinese_hakka,chinese_hokkien;Nanjing;10.50%;secularism;democracy;1.88%;-2,573249;12,6;13;
TAJ;Tajikistan;1530;tajik;Khojand;2.75%;secularism;proletarian_dictatorship;7.68%;-2,073249;1,2;26,5;218-112-214,communist 255-0-0
TAN;Tanzania;7935;swahili;Dar Es Salaam;1.25%;secularism;democracy;0.18%;-2,8557;0,7;26,7;
TAR;Tatarstan;;tatar;Samara;14.75%;secularism;proletarian_dictatorship;12.43%;-0,671825;5,3;73,8;255-248-220, communist 240-0-0
THI;Thailand;20042;thai;Bangkok;0.50%;secularism;hms_government;8.83%;-1,176165;4,6;34,1;
TIB;Tibet;1270;tibetan;Lhasa;20.50%;secularism;absolute_monarchy;1.00%;-1,23555;1,7;53,7;72-61-139,communist255-165-0
TOG;Togo;1172;black_french,kabye;Lome;3.25%;secularism;democracy;0.93%;-3;1,4;38;
TOK;Tokelau;;polynesian;Tokelau;16.75%;secularism;hms_government;0.75%;-0,9122;2,3;86,2;190-190-190
TON;Tonga;46;polynesian;Tonga;4.75%;secularism;hms_government;0.95%;-1,5;;23,4;
TRK;Transkei;;xhosa;Umtata;5.00%;secularism;populist_dictatorship;0.78%;-1,061362;1,3;62;
TRD;Transnistria;;russian;Balti;5.25%;secularism;proletarian_dictatorship;9.63%;-1,332522;1,2;47,7;
TAT;Trinidad and Tobago;632;black_anglo,indian;Trinidad;2.00%;secularism;democracy;1.63%;-1,5236306;3,3;13,7;
LBY;Tripoli;961;sunni_arab;Tripoli;3.00%;secularism;absolute_monarchy;12.20%;-2,12552;12;77,7;193-205-193,facist139-134-130
TUN;Tunis;3517;sunni_arab;Tunis;1.75%;secularism;hms_government;5.43%;-1,4838633;3,4;66,3;
TKR;Turkestan;1204;turkmen;Ashkhabad;4.50%;secularism;proletarian_dictatorship;7.20%;-2,183509;4,5;48,7;222-184-135,communist240-0-0
TCI;Turks and Caicos Islands;5;white_anglo;Turks And Caicos;19.00%;secularism;hms_government;4.75%;0,46008;3,1;79,6;
TNT;Tuva;;tuvans;Kyzyl;14.75%;secularism;proletarian_dictatorship;7.43%;-0,671825;5,3;73,8;123-104-238, communist 255-0-0
TUV;Tuvalu;5;polynesian;Ellice Islands;4.75%;secularism;hms_government;1.33%;-1,5;0;50,6;
UDM;Udmurtia;;udmurt,russian;Sarapol;14.75%;secularism;proletarian_dictatorship;14.93%;-0,671825;5,3;73,8;244-238-224, communist255-0-0
UGA;Uganda;4450;ganda:nyakole;Entebbe;1.25%;secularism;democracy;0.45%;-2,98686;1,4;15,6;
UKR;Ukraine;36775;ukrainian,russian;Kiev;11.50%;secularism;proletarian_dictatorship;10.83%;-0,765589;2,8;68,9;30-144-255, communist255-0-0
UAE;United Arab Emirates;72;sunni_arab;Abu Dhabi;1.00%;sunni;absolute_monarchy;3.03%;-1,763693;10,6;84,4;131-139-131
ENG;United Kingdom;50127;english,white_anglo,scottish,welsh,german;London;19.00%;secularism;hms_government;14.88%;0,9008;3,1;79,6;
URU;Uruguay;2194;white_spanish;Montevideo;16.00%;secularism;democracy;9.03%;-1,136524;7;82,4;
USA;USA;151868;white_anglo,german,jewish;Washington;9.00%;secularism;democracy;12.15%;0,94247;4,4;92,5;135-206-250
UZB;Uzbekistan;6293;uzbek;Tashkent;9.75%;secularism;proletarian_dictatorship;9.83%;-1,930372;2,4;36,2;221-160-221,communist255-0-0
VAN;Vanuatu;52;melanesian;New Hebrides;4.75%;secularism;democracy;0.08%;-2,5;0;24,9;
VED;Venda;;venda;Mosega;5.00%;secularism;populist_dictatorship;0.78%;-1,061362;1,3;62;160-82-45 
VNZ;Venezuela;5009;white_spanish,mestizo;Caracas;4.75%;secularism;presidential_dictatorship;7.13%;-1,4163809;4,3;93,5;
VIR;Virgin Islands;27;white_anglo;Tortola;19.00%;secularism;hms_government;7.25%;0,46008;3,1;79,6;
VOJ;Vojvodina;;serb,hungarian;Novi Sad;11.25%;secularism;proletarian_dictatorship;9.50%;-1;3,8;56,4;131-139-131,communist 153-50-204
WAE;Wales;;welsh,white_anglo;Cardiff;20.50%;secularism;hms_government;14.50%;-1,136524;7;82,4;
WAF;Wallis And Futuna;7;white_french;Wallis And Futuna;18.50%;secularism;democracy;7.25%;0,1592;3,4;85,8;
WLL;Wallonia;;wallonian;Liege;17.00%;secularism;hms_government;12.25%;0,07035;3,3;97,5;
WPA;West Papua;;papua;Sorong;0.25%;secularism;democracy;3.00%;-1,5465448;1,2;50,7;218-112-214
WSA;Western Sahara;9;sunni_arab;Aaiun;0.25%;secularism;proletarian_dictatorship;0.23%;-3;;82;222-184-135
YAK;Yakutia;;yakut,russian;Yakutsk;14.75%;secularism;proletarian_dictatorship;12.43%;-0,671825;5,3;73,8;245-245-245, communist255-0-0
YEM;Yemen;4777;sunni_arab;Sana;0.25%;secularism;absolute_monarchy;3.48%;-2,83394;2,9;32,3;240-230-140,fascist85-107-47
YOG;Yogyakarta;;indonesian;Yogyakarta;0.25%;secularism;hms_government;4.50%;-1,5465448;1,2;50,7;72-209-204
ZAM;Zambia;1634;black_anglo;Lusaka;1.25%;secularism;democracy;0.63%;-2,293353;1,3;39,2;
ZAN;Zanzibar;;swahili,ibad_arab;Zanzibar;1.25%;secularism;hms_government;2.35%;-2,8557;0,7;26,7;
ZIM;Zimbabwe;1600;shona:nguni;Harare;2.25%;secularism;democracy;0.98%;-2,031129;2,5;38,6;
ZUL;Zulu;;zulu;Ulundi;5.00%;secularism;absolute_monarchy;0.78%;-1,061362;1,3;62;
KOR;Korea;;korean;Seoul;13.00%;secularism;democracy;6.25%;-0,40823;0;91;238-238-224
YUG;Yugoslavia;15700;yugoslav,serb,croat,slovene,bosniak;Belgrade;11.25%;secularism;proletarian_dictatorship;9.50%;-1;3,8;56,4;119-136-153,  communist 153-50-204
SEL;Seleka;;black_muslim;Ndele;1.25%;sunni;presidential_dictatorship;0.60%;-2,8557;0,7;15;127-255-0
NRO;Novorossiya;;russian;Luhansk;11.50%;secularism;presidential_dictatorship;10.83%;-0,765589;2,8;68,9;132-112-255
ISI;Islamic State;;sunni_arab;Mosul;3.75%;sunni;theocracy;1.53%;-2,53894;13,6;56,1;0-0-0
ROJ;Rojava;;kurdish;Dayr al;3.25%;secularism;democracy;3.33%;-1,287659;8,7;71,5;230-230-250
TEX;Texas;;white_anglo;Austin;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;0-128-255
CSA;CSA;;white_anglo;Montgomery;36.00%;secularism;populist_dictatorship;72.60%;1,94247;4,4;92,5;0-128-255
HAW;Hawaii;;polynesian;Hawaii;36.00%;secularism;democracy;72.60%;1,94247;4,4;92,5;0-128-255
XGC;Gulf Cooperation Council;;sunni_arab;Riyadh;9.00%;secularism;democracy;18.15%;0,44247;4,4;82,3;60-179-113
XEF;East African Federation;;swahili;Arusha;9.00%;secularism;democracy;18.15%;0,44247;4,4;26,7;85-107-47
XEU;Europena Union;;european,white_anglo,european,white_spanish,white_frensh;Brussels;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;70-130-180
XCC;CARICOM;;white_anglo;Trinidad;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;224-255-255
XAU;African Union;;black_anglo;Gonder;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;46-139-87
XEW;ECOWAS;;black_anglo;Abuja;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;176-196-222
XEC;ECCAS;;black_french;Libreville;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;0-0-128
XSA;Southern African Development Community;;black_anglo;Gaborone;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;255-165-0
XSU;Union of South American Nations;;white_spanish,mestizo;Quito;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;216-191-216
XMS;Mercosur;;white_spanish,mestizo;Montevideo;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;255-215-0
XAC;Andean Community;;white_spanish,mestizo;Lima;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;238-130-238 
XAL;Arab League;;sunni_arab;Cairo;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;34-139-34
XMU;Arab Maghreb Union;;sunni_arab,berber;Rabat;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;189-183-107
XAN;ASEAN;;indonesian;Batavia;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;205-197-191
XCI;Central American Integration System;;mestizo;San Salvador;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;240-255-255
XNA;NAFTA;;mestizo,white_anglo,white_spanish;Washington;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;135-206-250
XIO;SAARC;;indian,indian_muslim;Delhi;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;147-112-219
XPI;Pacific Islands Federation;;white_anglo,polynesian;Fiji;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;135-206-250
XEA;Eurasian Economic Community;;russian;Moscow;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;190-190-190
XTC;Turkic Council;;turkish;Istanbul;9.00%;secularism;democracy;18.15%;0,44247;4,4;92,5;255-99-71
XUM;Ummah;;persian,shia_arab;Tehran;36.00%;shiite;theocracy;72.60%;1,94247;4,4;92,5;245-245-220
ABZ;Ambazonia;;black_anglo;Buea;1.50%;secularism;democracy;1.23%;-3,36252;0,7;52,1;123-104-238
AZA;Azawad;;tuareg;Timbuktu;0.75%;secularism;democracy;0.48%;-1,920333;0,5;34,9;123-104-238
BIF;Biafra;;ibo;Awka;0.75%;secularism;democracy;0.48%;-1,920333;0,5;34,9;123-104-238
CBA;Cabinda;;bakongo;Cabinda;2.50%;secularism;democracy;0.18%;-3,06387;8,4;59,2;255-99-71
KAT;Katanga;;black_french:black_french;Bunkeya;1.25%;secularism;presidential_dictatorship;1.23%;-2,5;4,8;34,3;255-99-71
SMU;South Maluku;;ambon-timor;Ambon;1.00%;secularism;democracy;0.43%;-3;1,3;28,3;70-130-180
TAE;Tamil Eelam;;tamil;Jaffna;0.50%;secularism;democracy;1.28%;-2,186109;7,5;15,1;70-130-180
NFL;Newfoundland;;white_anglo;Saint Johns;21.00%;secularism;democracy;20.00%;-0,51201;2;80,7;255-191-19
RHO;Southern Rhodesia;2853;white_anglo,black_anglo;Harare;2.25%;secularism;hms_government;0.98%;-2,031129;2,5;38,6;
UAR;United Arab Republic;;sunni_arab;Cairo;4.00%;secularism;democracy;14.60%;-0,14477;5,6;43,5;
MCK;Manchukuo;;manchu,chinese;Baffin Island;82.00%;secularism;proletarian_dictatorship;18.50%;0,178202;1,7;9;255-165-0
SCA;Scandinavia;;swedish,danish,norwegian;Gothenburg;88.00%;secularism;hms_government;70.00%;2,12261;2,2;85,2;
DZG;Danzig;;german,polish;Danzig;62.00%;secularism;democracy;66.30%;2,55528;2,2;73,9;
TRE;Trieste;;italian,croat,slovene;Trieste;60.00%;secularism;democracy;54.90%;1,87886;3;68,4;
QNG;Qing China;;manchu,chinese;Beijing;82.00%;secularism;absolute_monarchy;18.50%;0,178202;1,7;9;
UBD;United Baltic Provinces;;latvian,estonian,lithuanian;Riga;58.00%;secularism;democracy;61.10%;0,100229;2,1;67,7;
RUT;Ruthenia;;ukrainian:russian;Uzgorord;66.00%;secularism;democracy;73.30%;-0,034411;2,8;45;
FER;Far Eastern Republic;;russian;Chita;59.00%;secularism;democracy;64.10%;0,78175;5,3;45,8;
RAJ;Raj;;white_anglo,indian,indian_muslim;Delhi;1.00%;secularism;democracy;1%;-2,514307;1,1;9;
ICU;Indochina;;vietnamese;Saigon;44.00%;secularism;democracy;9.70%;-0,715529;5,4;31;
IAR;International Authority for the Ruhr;;german;Dortmund;62.00%;secularism;democracy;66.30%;2,55528;2,2;73,9;
RGS;Rio Grande do Sul;;white_portuguese;Porto Alegre;10.00%;secularism;democracy;15.50%;0,647803;1,6;28,6;
BAV;Bavaria;;german;Munich;62.00%;secularism;democracy;66.30%;2,55528;2,2;73,9;
TRA;Travancore;;malayalam;Cochin;9.00%;secularism;absolute_monarchy;12.50%;-0,114307;1,1;9;
ASM;Assam;;assamese;Dibrugarh;9.00%;secularism;democracy;12.50%;-0,114307;1,1;9;
PNJ;Panjab;;sikh;Amritsar;9.00%;secularism;democracy;12.50%;-0,114307;1,1;9;
MYS;Mysore;;indian;Mysore;9.00%;secularism;absolute_monarchy;12.50%;-0,114307;1,1;9;
HYD;Hyderabad;;indian_muslim,telegu;Hyderabad;9.00%;secularism;absolute_monarchy;12.50%;-0,114307;1,1;9;
SIK;Sikkim;;sikkim;Thimpu;5.00%;buddhist;absolute_monarchy;2.80%;-1,2;11,3;35,6;
ORI;Orissa;;indian;Cuttack;9.00%;secularism;absolute_monarchy;0.50%;-0,114307;1,1;9;
BER;Beroda;;indian;Beroda;9.00%;secularism;absolute_monarchy;12.50%;-0,114307;1,1;9;
GWA;Gwalior;;indian;Gwalior;9.00%;secularism;absolute_monarchy;12.50%;-0,114307;1,1;9;
IND;Indore;;indian;Indore;9.00%;secularism;absolute_monarchy;0.50%;-0,114307;1,1;9;
SIN;Sind;;indian_muslim;Karachi;9.00%;secularism;democracy;12.50%;-0,114307;1,1;9;
RAA;Rajputana;;indian;Jaipur;9.00%;secularism;absolute_monarchy;0.50%;-0,114307;1,1;9;
UCH;Reorganized Government of China;;chinese;Beijing;82.00%;secularism;democracy;18.50%;0,178202;1,7;9;
UFR;Free France;;french;Paris;74.00%;secularism;democracy;23.60%;1,9592;3,4;85,8;
FUJ;Fujan;;chinese_hakka,chinese_hokkien;Fuzhou;82.00%;secularism;democracy;0.50%;0,178202;1,7;9;
KWA;Guangdong;;chinese_cantonese;Canton;82.00%;secularism;democracy;0.50%;0,178202;1,7;9;
YNN;Yunnan;;chinese,yi,bai,miao;Kunming;82.00%;secularism;presidential_dictatorship;0.50%;0,178202;1,7;9;
HNB;Bangabhumi;;indian;Jessore;12.00%;secularism;democracy;13.60%;-1,03418;1;28,4;
PAT;Patani;;malay;Pattani;10.00%;secularism;democracy;0.80%;0,614031;4,2;72,8;95-15-160 
MIZ;Mizoram;;mizoram;Agartala;9.00%;secularism;democracy;0.50%;-0,114307;1,1;9;
NAX;Naxalite India;;indian;Delhi;9.00%;secularism;absolute_monarchy;0.50%;-0,114307;1,1;9;
DRA;Dravidastan;;tamil,telegu,malayalam;Madras;9.00%;secularism;democracy;0.50%;-0,114307;1,1;9;
NAG;Nagpur;;naga;Imphal;9.00%;secularism;democracy;0.50%;-0,114307;1,1;9;
BOD;Bodoland;;bodo;Uchami;9.00%;secularism;absolute_monarchy;0.50%;-0,114307;1,1;9;
MNP;Manipur;;manipuri;Imphal;9.00%;secularism;absolute_monarchy;0.50%;-0,114307;1,1;9;
DYA;Dyak;;kalimatan;Sintang;1.00%;secularism;democracy;0.60%;-0,583769;1,2;50,7;
EID;East Indonesia;;bali,ambon-timor,moluccan;Makassar;1.00%;secularism;democracy;13.60%;-0,583769;1,2;50,7;
UGR;Provincial Democratic Greece;0;greek;Salonika;6.00%;secularism;proletarian_dictatorship;10.58%;-1,147413;13,4;61,4;
UCS;Congo Stanleyville;0;swahili,luba,african_minor;Kisangani;1.25%;secularism;proletarian_dictatorship;0.23%;-2,5;4,8;34,3;139-119-101
